seq,fold,mfe1,mfe2,icshape,binding,rpkm,relatelen,utrrate,predicted_score
0.20083004,0.036344945,0.07289606,0.25797683,0.0,0.3920057,3.5410326e-07,0.009505656,0.03044041,0.014145784
0.2559866,0.09677016,0.024791673,0.1519728,0.0,0.44572005,8.185795e-06,0.0013946538,0.023355883,0.050952047
0.18578266,0.09904247,0.0749558,0.18157546,0.0,0.43918008,1.2593836e-05,0.0022275134,0.01722337,0.054184966
0.19787681,0.15523492,0.018958561,0.12019737,0.0,0.49692,6.431118e-07,0.002553744,0.00825798,0.07667943
0.23278207,0.0809194,0.039642137,0.28444758,0.0,0.33956528,1.0724319e-05,0.0047401967,0.017892644,0.03588905
0.2307971,0.03447921,0.050066754,0.10795664,0.0,0.51212066,1.1859564e-05,0.004258731,0.060309026,0.041093893
0.2644401,0.057343926,0.078664415,0.06572949,0.0,0.5113788,2.149642e-06,0.005940192,0.016500894,0.0693653
0.22232862,0.06007954,0.10877316,0.103241526,0.0,0.48448223,5.1624897e-06,0.0065156547,0.0145740695,0.05891121
0.40334058,0.040436834,0.020124,0.08228291,0.0,0.3902364,1.0347933e-05,0.00672515,0.056843694,0.048429452
0.23435548,0.05059738,0.101774186,0.21782799,0.0,0.3717697,4.57208e-06,0.008972297,0.014698371,0.050292008
0.26932418,0.071858115,0.0418294,0.08212891,0.0,0.51248604,1.0049336e-05,0.007828729,0.014534576,0.047910854
0.17794815,0.084965475,0.0020802687,0.18711057,0.0,0.52734005,1.6357188e-05,0.0055231187,0.015016013,0.076276846
0.19115561,0.07314436,0.061535932,0.1881165,0.0,0.45432556,1.7293344e-06,0.0060384944,0.02568181,0.05258581
0.27828935,0.110585235,0.01685726,0.019840574,0.0,0.55839694,4.838195e-06,0.004936304,0.011089474,0.05678858
0.1623377,0.0587321,0.14499296,0.16788837,0.0,0.42244366,4.1181092e-06,0.007974588,0.035626482,0.06348524
0.26857695,0.07360804,0.026746444,0.05796513,0.0,0.5386681,1.3919695e-05,0.011061326,0.023360115,0.0661189
0.2249158,0.034150444,0.05302061,0.20007274,0.0,0.4554967,9.245183e-06,0.0073201647,0.025014354,0.03565918
0.17453213,0.102181196,0.011251775,0.1784283,0.0,0.49983463,1.0189522e-06,0.005172191,0.028598819,0.055010937
0.30360192,0.085098095,0.012578056,0.089069545,0.0,0.47945186,7.3093033e-06,0.004732286,0.025460906,0.0487791
0.23019084,0.085250586,0.06116792,0.11158587,0.0,0.47852087,1.2357764e-06,0.015198486,0.018084107,0.061207898
0.16836245,0.102596335,0.07630718,0.16545089,0.0,0.47006992,8.309134e-06,0.0075958828,0.009609032,0.042814113
0.22058365,0.117182724,0.008856758,0.022924466,0.0,0.5890945,5.816936e-07,0.010214877,0.031142376,0.06647771
0.2384331,0.07533387,0.04051523,0.16289847,0.0,0.4604056,7.4511185e-08,0.00562198,0.016791742,0.063306876
0.19678438,0.10060731,0.008841409,0.08357332,0.0,0.5222421,3.7878349e-06,0.026171114,0.06177658,0.045096852
0.25598845,0.067301184,0.026991516,0.07685433,0.0,0.53119165,6.330059e-07,0.006257011,0.03541521,0.059761815
0.21442936,0.057679757,0.07652441,0.22758578,0.0,0.398302,6.287663e-06,0.009257318,0.016215077,0.053421095
0.20056997,0.06519595,0.06476297,0.18708526,0.0,0.46025318,7.397133e-06,0.0014529688,0.020672338,0.03500434
0.19615062,0.10198358,0.03714073,0.14375815,0.0,0.48034412,8.460092e-06,0.008690854,0.031923573,0.045721926
0.24244604,0.07178017,0.09111424,0.0,0.0,0.54631525,8.72623e-06,0.0045815697,0.04375404,0.042331822
0.20454308,0.070406236,0.0691806,0.048401143,0.0,0.5537643,3.2129657e-05,0.005562946,0.04810957,0.041193493
0.23779774,0.07498668,0.029094193,0.031261943,0.0,0.59048796,1.1340259e-05,0.012223067,0.02413713,0.054769017
0.21702921,0.06701905,0.08264247,0.17170896,0.0,0.44100353,1.7129063e-06,0.008894329,0.011700741,0.028019674
0.2018706,0.07573286,0.055918615,0.2071834,0.0,0.42208612,6.0003786e-06,0.0072895233,0.029912923,0.03871026
0.19177534,0.11843,0.053370114,0.19176582,0.0,0.42471465,4.409569e-06,0.003512643,0.016426954,0.039401688
0.172653,0.07108814,0.08458021,0.19449769,0.0,0.42169246,1.7388425e-05,0.0046681184,0.050803028,0.0703712
0.24527724,0.10734258,0.074780434,0.09039365,0.0,0.46824798,2.6278842e-05,0.0018771113,0.012054647,0.06105096
0.17790204,0.07128711,0.06427175,0.21652263,0.0,0.4508211,1.822045e-05,0.00433249,0.014844685,0.045600235
0.24803759,0.12583466,0.017245967,0.04407506,0.0,0.5507019,9.73458e-06,0.007011509,0.0070835366,0.049850814
0.24002793,0.08316483,0.008896662,0.07476285,0.0,0.57113737,5.3088133e-06,0.0028926637,0.019112386,0.07800985
0.27820462,0.10288757,0.036761176,0.15283217,0.0,0.39309022,2.351073e-06,0.007232904,0.028988967,0.035483904
0.2508922,0.07920762,0.068977274,0.00092903984,0.0,0.56988716,2.6944203e-06,0.005099889,0.025004163,0.06315494
0.19823062,0.078053035,0.044893414,0.18203692,0.0,0.472258,2.2023201e-05,0.009462446,0.015043447,0.027312085
0.3352857,0.05783188,0.031490456,0.09666952,0.0,0.4577438,5.0901203e-06,0.005086028,0.0158875,0.057777174
0.2009296,0.050708257,0.05350624,0.18406482,0.0,0.4783686,2.0656205e-05,0.007943236,0.024458552,0.04465875
0.24129397,0.055839203,0.07543693,0.18963064,0.0,0.38572395,4.076219e-06,0.0095822895,0.042488936,0.041502543
